Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus
Dourada ,Choupa,baila,toadfish,Eel,Pargo,garfish,Seabass,sole,Mucharra,Safia,silverside,red mullet,Sargo,Salema,wrasse,goby,anchovy,sardine,grey mullet
,35.9,,,,,,,,,,,,,,,,,15.06,
,34.3,,,,,,,,,,,,,,,,,15.06,
,24,,,,,,,,,,,,,,,,,15.06,
,29.4,,,,,,,,,,,,,,,,,15.06,
,33.8,,,,,,,,,,,,,,,,,15.06,
,31.4,,,,,,,,,,,,,,,,,15.06,
,33.8,,,,,,,,,,,,,,,,,15.06,
,33,,,,,,,,,,,,,,,,,15.06,
,28.9,,,,,,,,,,,,,,,,,15.06,
,34,,,,,,,,,,,,,,,,,15.06,
,39,,,,,,,,,,,,,,,,,15.06,
,32.1,,,,,,,,,,,,,,,,,15.06,
,30.7,,,,,,,,,,,,,,,,,15.06,
,29.5,,,,,,,,,,,,,,,,,15.06,
,36.8,,,,,,,,,,,,,,,,,15.06,
,27,,,,,,,,,,,,,,,,,15.06,
,29.7,,,,,,,,,,,,,,,,,15.06,
,37.7,,,,,,,,,,,,,,,,,15.06,
,36,,,,,,,,,,,,,,,,,15.06,
,29.3,,,,,,,,,,,,,,,,,15.06,
,39.6,,,,,,,,,,,,,,,,,15.06,
,37.8,,,,,,,,,,,,,,,,,15.06,
,35.7,,,,,,,,,,,,,,,,,15.06,
,26.4,,,,,,,,,,,,,,,,,15.06,
,31.9,,,,,,,,,,,,,,,,,15.06,
,29.6,,,,,,,,,,,,,,,,,15.06,
,27.7,,,,,,,,,,,,,,,,,15.06,
,35.5,,,,,,,,,,,,,,,,,15.06,
,37.6,,,,,,,,,,,,,,,,,15.06,
,26.7,,,,,,,,,,,,,,,,,15.06,
,25.7,,,,,,,,,,,,,,,,,15.06,
,43.8,,,,,,,,,,,,,,,,,15.06,
,28.2,,,,,,,,,,,,,,,,,15.06,
,36.6,,,,,,,,,,,,,,,,,15.06,
,28,,,,,,,,,,,,,,,,,15.06,
,37,,,,,,,,,,,,,,,,,15.06,
,34,,,,,,,,,,,,,,,,,15.06,
,42.6,,,,,,,,,,,,,,,,,15.06,
,14.2,,,,,,,,,,,,,,,,,15.06,
,37.3,,,,,,,,,,,,,,,,,15.06,
,21.5,,,,,,,,,,,,,,,,,15.06,
,18.9,,,,,,,,,,,,,,,,,15.06,
,24.7,,,,,,,,,,,,,,,,,15.06,
,38.2,,,,,,,,,,,,,,,,,15.06,
,37.2,,,,,,,,,,,,,,,,,15.06,
,40.8,,,,,,,,,,,,,,,,,15.06,
,34.2,,,,,,,,,,,,,,,,,15.06,
,32.1,,,,,,,,,,,,,,,,,15.06,
,48.6,,,,,,,,,,,,,,,,,15.06,
,26.6,,,,,,,,,,,,,,,,,15.06,
,32.6,,,,,,,,,,,,,,,,,15.06,
,38.7,,,,,,,,,,,,,,,,,15.06,
,35.6,,,,,,,,,,,,,,,,,15.06,
,28.3,,,,,,,,,,,,,,,,,15.06,
,37.7,,,,,,,,,,,,,,,,,15.06,
,37.5,,,,,,,,,,,,,,,,,15.06,
,51.1,,,,,,,,,,,,,,,,,15.06,
,36.5,,,,,,,,,,,,,,,,,15.06,
,36.2,,,,,,,,,,,,,,,,,15.06,
,43.5,,,,,,,,,,,,,,,,,15.06,
,36.4,,,,,,,,,,,,,,,,,15.06,
,34.2,,,,,,,,,,,,,,,,,15.06,
,34.4,,,,,,,,,,,,,,,,,15.06,
,33.4,,,,,,,,,,,,,,,,,15.06,
,40.2,,,,,,,,,,,,,,,,,15.06,
,30.7,,,,,,,,,,,,,,,,,15.06,
,32.1,,,,,,,,,,,,,,,,,15.06,
,36.3,,,,,,,,,,,,,,,,,15.06,
,39.9,,,,,,,,,,,,,,,,,15.06,
,37.2,,,,,,,,,,,,,,,,,15.06,
,32.3,,,,,,,,,,,,,,,,,15.06,
,25.4,,,,,,,,,,,,,,,,,15.06,
,45.2,,,,,,,,,,,,,,,,,15.06,
,38.5,,,,,,,,,,,,,,,,,15.06,
